name,roof_area_m2,potential_kwh_yr,geometry_wkt,installation_cost_eur,selected
Innsbrucker Verkehrsbetriebe,20885.772793560875,3675896.011666714,"POLYGON ((11.397805 47.252323, 11.397239 47.252321, 11.397166 47.252321, 11.397022 47.25232, 11.396949 47.25232, 11.396877 47.252319, 11.396733 47.252319, 11.396657 47.252319, 11.39628 47.252317, 11.3961 47.252316, 11.396098 47.252475, 11.396155 47.252475, 11.396152 47.252842, 11.396278 47.252842, 11.396294 47.252843, 11.396292 47.253084, 11.39635 47.253084, 11.397201 47.253088, 11.397201 47.253059, 11.397238 47.253059, 11.397275 47.253059, 11.397276 47.25294, 11.397714 47.252942, 11.397714 47.252845, 11.397783 47.252845, 11.397786 47.25243, 11.397804 47.25243, 11.397805 47.252323))",3182865.9190341313,1
west,20612.474573234274,3627795.524889233,"POLYGON ((11.373376 47.263983, 11.37338 47.264295, 11.37338 47.264323, 11.373384 47.264452, 11.373384 47.264505, 11.373389 47.264798, 11.37377 47.264794, 11.373924 47.264794, 11.373932 47.264794, 11.373962 47.264793, 11.37399 47.264793, 11.374112 47.264792, 11.374174 47.264791, 11.374353 47.26479, 11.374454 47.26479, 11.374603 47.264788, 11.374773 47.264787, 11.374767 47.264646, 11.374768 47.264499, 11.374767 47.264475, 11.374766 47.264456, 11.374763 47.264382, 11.374762 47.264287, 11.37476 47.264241, 11.374759 47.264192, 11.374756 47.264021, 11.374755 47.263965, 11.374648 47.263967, 11.37458 47.263967, 11.374377 47.263971, 11.374137 47.263976, 11.373953 47.263978, 11.373505 47.263981, 11.373376 47.263983))",3141871.185985141,1
,19557.886342664773,3442187.9963090005,"POLYGON ((11.446043 47.263014, 11.446887 47.262383, 11.447841 47.262972, 11.447821 47.262987, 11.447797 47.262972, 11.446972 47.263587, 11.446043 47.263014))",2983682.951399716,1
IVB-Straßenbahnhalle,19370.19999904484,3409155.199831892,"POLYGON ((11.397649 47.251538, 11.397292 47.251537, 11.397292 47.251552, 11.396075 47.251547, 11.396076 47.251533, 11.395936 47.251532, 11.395925 47.251838, 11.395995 47.251839, 11.396004 47.252101, 11.39628 47.252102, 11.396325 47.252102, 11.396394 47.252102, 11.397741 47.252107, 11.397806 47.252107, 11.397836 47.252108, 11.397881 47.252108, 11.397884 47.251648, 11.397649 47.251538))",2955529.999856726,1
Congress,19002.76110445905,3344485.954384793,"POLYGON ((11.394057 47.270364, 11.394404 47.270325, 11.394334 47.270074, 11.394567 47.270042, 11.394528 47.269876, 11.394834 47.269835, 11.394906 47.269828, 11.395081 47.270489, 11.395188 47.270476, 11.395236 47.27047, 11.395357 47.270937, 11.395241 47.270952, 11.395274 47.271062, 11.394855 47.2711, 11.394818 47.271076, 11.394722 47.271086, 11.394689 47.271061, 11.394594 47.271072, 11.394551 47.271048, 11.394478 47.271061, 11.394435 47.271035, 11.394412 47.270964, 11.394273 47.270981, 11.394249 47.270906, 11.394126 47.270685, 11.394103 47.270562, 11.394057 47.270364))",2900414.1656688573,1
Greif Center,18707.11231993052,3292451.7683077715,"POLYGON ((11.427347 47.264304, 11.427246 47.264302, 11.427198 47.264329, 11.427019 47.264595, 11.426917 47.264724, 11.426828 47.264838, 11.426624 47.265091, 11.426725 47.265122, 11.426674 47.265183, 11.427185 47.265382, 11.42723 47.265399, 11.427291 47.265336, 11.427651 47.265179, 11.427774 47.265055, 11.427688 47.265015, 11.427726 47.264964, 11.427907 47.265019, 11.427998 47.264898, 11.428386 47.264688, 11.428412 47.26463, 11.427347 47.264304))",2856066.847989578,1
Olympiahalle,18424.458613551105,3242704.715984995,"POLYGON ((11.408818 47.258113, 11.409011 47.258142, 11.409794 47.258256, 11.410086 47.258302, 11.41011 47.258225, 11.41033 47.257538, 11.409067 47.257352, 11.409029 47.257471, 11.408839 47.25805, 11.408818 47.258113))",2813668.7920326656,1
,18199.453851858005,3203103.877927009,"POLYGON ((11.400355 47.27034, 11.400369 47.270547, 11.400373 47.270576, 11.400443 47.270995, 11.400524 47.270984, 11.400532 47.271012, 11.400624 47.270999, 11.40094 47.270953, 11.401043 47.270938, 11.401035 47.270912, 11.401123 47.270899, 11.401129 47.27092, 11.401153 47.270999, 11.401245 47.271301, 11.400999 47.271335, 11.40104 47.271471, 11.40148 47.27141, 11.40165 47.271386, 11.401609 47.27125, 11.4015 47.271265, 11.401467 47.271157, 11.401794 47.271111, 11.401867 47.271353, 11.402064 47.271325, 11.402133 47.271315, 11.40206 47.271074, 11.402001 47.270881, 11.401932 47.270891, 11.401736 47.270918, 11.401409 47.270964, 11.401385 47.270885, 11.401237 47.270398, 11.401143 47.270411, 11.401133 47.27038, 11.4013 47.270361, 11.401541 47.270334, 11.401633 47.270325, 11.401632 47.270296, 11.401626 47.270192, 11.401536 47.270194, 11.400864 47.270213, 11.400881 47.270267, 11.400391 47.270323, 11.400394 47.270336, 11.400355 47.27034), (11.400711 47.270514, 11.400776 47.27072, 11.400468 47.270765, 11.400403 47.270558, 11.400711 47.270514))",2779918.0777787007,1
,18049.36391503113,3176688.0490454794,"POLYGON ((11.431418 47.268783, 11.431324 47.268454, 11.431671 47.268408, 11.431693 47.268485, 11.432076 47.268434, 11.432003 47.268179, 11.43265 47.268094, 11.432657 47.26812, 11.432904 47.268088, 11.432896 47.268061, 11.433051 47.268041, 11.433121 47.268285, 11.433025 47.268298, 11.433037 47.268339, 11.433831 47.268235, 11.433903 47.268485, 11.432802 47.268629, 11.432562 47.268661, 11.431569 47.268791, 11.431561 47.268764, 11.431418 47.268783))",2757404.587254669,1
C+C Wedl,17562.96282938543,3091081.457971836,"POLYGON ((11.432366 47.262375, 11.432265 47.262212, 11.432004 47.261789, 11.4334 47.261393, 11.433758 47.261976, 11.433218 47.262136, 11.432791 47.262257, 11.4326 47.262311, 11.432366 47.262375))",2684444.4244078146,1
Porsche Inter Auto Innsbruck-Hallerstraße,17449.818686405277,3071168.088807329,"POLYGON ((11.433247 47.276854, 11.43318 47.276846, 11.433169 47.276888, 11.432995 47.276868, 11.433007 47.276822, 11.432686 47.276785, 11.432779 47.27641, 11.433101 47.276447, 11.43318 47.276455, 11.43326 47.276464, 11.43322 47.27663, 11.433311 47.276641, 11.433338 47.27653, 11.434404 47.276652, 11.434455 47.276448, 11.434773 47.276485, 11.434802 47.276488, 11.434639 47.277143, 11.433838 47.277051, 11.433825 47.277101, 11.433583 47.277074, 11.433596 47.277023, 11.433215 47.276979, 11.433247 47.276854))",2667472.8029607916,1
