name,roof_area_m2,potential_kwh_yr,geometry_wkt,installation_cost_eur,selected
SoWi,12812.207953024872,2254948.599732378,"POLYGON ((11.399142 47.269763, 11.399145 47.269808, 11.39915 47.269879, 11.399151 47.269887, 11.399152 47.269895, 11.39931 47.269892, 11.399313 47.269937, 11.399241 47.269939, 11.399243 47.26997, 11.399563 47.269967, 11.399668 47.270051, 11.399692 47.27007, 11.399678 47.27007, 11.399254 47.270077, 11.399235 47.27015, 11.39909 47.270149, 11.399076 47.27008, 11.398952 47.270083, 11.398942 47.270146, 11.398806 47.270147, 11.398794 47.270085, 11.398667 47.270088, 11.398654 47.270144, 11.398526 47.270144, 11.398515 47.270096, 11.398388 47.270099, 11.397293 47.270119, 11.397288 47.270015, 11.397423 47.270011, 11.397418 47.269924, 11.397417 47.269913, 11.397284 47.269916, 11.397277 47.269804, 11.39809 47.269787, 11.398186 47.269785, 11.39832 47.269782, 11.39846 47.269778, 11.398477 47.269756, 11.398824 47.269682, 11.398866 47.26968, 11.398934 47.269703, 11.399035 47.269712, 11.399069 47.269731, 11.39909 47.269764, 11.399133 47.269764, 11.399142 47.269763))",1971831.1929537307,1
Autopark,12388.378850938498,2180354.677765176,"POLYGON ((11.426399 47.266301, 11.425748 47.265981, 11.425587 47.265952, 11.425367 47.265959, 11.425186 47.266024, 11.425094 47.266094, 11.424989 47.266207, 11.424961 47.266339, 11.425012 47.266476, 11.42512 47.266578, 11.425233 47.266643, 11.42533 47.266676, 11.425403 47.266685, 11.42561 47.266577, 11.425695 47.266661, 11.426399 47.266301))",1908256.8276407747,1
,12014.457977938766,2114544.604117223,"POLYGON ((11.349163 47.251527, 11.350032 47.251576, 11.350077 47.251222, 11.350017 47.251219, 11.350042 47.250986, 11.349353 47.250952, 11.349334 47.251111, 11.348792 47.251081, 11.348741 47.251504, 11.348782 47.251506, 11.349163 47.251527))",1852168.6966908148,1
Halle A,11985.16938417684,2109389.811615124,"POLYGON ((11.404304 47.271859, 11.4031 47.272002, 11.402963 47.271473, 11.404168 47.27133, 11.404304 47.271859))",1847775.407626526,1
Billa Plus,11753.189881527633,2068561.4191488635,"POLYGON ((11.376552 47.25805, 11.376207 47.257875, 11.376319 47.257788, 11.376157 47.257676, 11.376078 47.257744, 11.376033 47.257727, 11.375955 47.257771, 11.375933 47.257763, 11.375515 47.258164, 11.375538 47.258175, 11.375191 47.25856, 11.375278 47.258596, 11.375398 47.258639, 11.375523 47.258505, 11.375891 47.258687, 11.376062 47.258526, 11.376269 47.25833, 11.376212 47.258302, 11.376269 47.258247, 11.376297 47.25826, 11.376321 47.258264, 11.376342 47.258262, 11.376369 47.258252, 11.376389 47.258235, 11.37636 47.258222, 11.376552 47.25805))",1812978.482229145,1
Wohnheim Pradl,11506.443408104456,2025134.0398263847,"POLYGON ((11.42019 47.266431, 11.420076 47.266647, 11.420102 47.266653, 11.420166 47.266668, 11.420181 47.266672, 11.420196 47.266675, 11.420354 47.266713, 11.420605 47.266529, 11.420792 47.266485, 11.420939 47.266267, 11.420894 47.266216, 11.420957 47.26619, 11.421006 47.266171, 11.421115 47.266294, 11.421203 47.266258, 11.421465 47.266151, 11.421356 47.266028, 11.421456 47.265987, 11.4215 47.266037, 11.421676 47.265965, 11.421646 47.265931, 11.421859 47.265844, 11.421899 47.26589, 11.422083 47.265814, 11.422056 47.265783, 11.422273 47.265695, 11.422314 47.265742, 11.422489 47.26567, 11.422408 47.265579, 11.422427 47.265571, 11.422248 47.265369, 11.422046 47.265452, 11.422224 47.265653, 11.422022 47.265736, 11.421826 47.265514, 11.421639 47.26559, 11.421821 47.265796, 11.421621 47.265877, 11.421428 47.265659, 11.421232 47.265739, 11.421414 47.265944, 11.421256 47.266008, 11.421206 47.265952, 11.42102 47.266028, 11.420967 47.266049, 11.42102 47.26611, 11.420896 47.26616, 11.420781 47.266039, 11.42068 47.266077, 11.420537 47.266137, 11.420498 47.266333, 11.42019 47.266431))",1775966.5112156684,1
WUB Hallen,11313.498339949245,1991175.7078310675,"POLYGON ((11.414372 47.276772, 11.414529 47.27688, 11.414928 47.277156, 11.4151 47.277042, 11.415236 47.277136, 11.414439 47.277666, 11.414395 47.277636, 11.414351 47.277605, 11.413747 47.277187, 11.413966 47.277042, 11.414372 47.276772))",1747024.7509923868,1
,11180.078960349148,1967693.8970214496,"POLYGON ((11.372462 47.260441, 11.372873 47.259724, 11.372743 47.25969, 11.372803 47.259586, 11.372992 47.259636, 11.373055 47.259527, 11.372416 47.259358, 11.371882 47.260287, 11.372462 47.260441))",1727011.8440523723,1
Parkhaus,11114.580032280071,1956166.0856812927,"POLYGON ((11.35271 47.257043, 11.352703 47.256998, 11.352701 47.256982, 11.352876 47.256999, 11.352879 47.256973, 11.352882 47.256946, 11.352882 47.256942, 11.352925 47.256932, 11.352957 47.256916, 11.352974 47.256909, 11.352996 47.256891, 11.353012 47.25687, 11.353029 47.256826, 11.353028 47.256798, 11.353015 47.256761, 11.352994 47.256733, 11.352965 47.256712, 11.352925 47.256695, 11.352881 47.256684, 11.352814 47.256682, 11.352784 47.256685, 11.352743 47.25669, 11.352754 47.256652, 11.351405 47.256508, 11.351309 47.256895, 11.351404 47.256905, 11.351464 47.256911, 11.351526 47.256918, 11.351613 47.256926, 11.351635 47.256833, 11.351688 47.256839, 11.351734 47.256844, 11.351711 47.256936, 11.352478 47.25702, 11.35271 47.257043))",1717187.0048420108,1
Hofburg,11067.063267624171,1947803.1351018543,"POLYGON ((11.394529 47.268566, 11.394049 47.268591, 11.394057 47.268738, 11.394032 47.268738, 11.394035 47.268792, 11.394036 47.268887, 11.393986 47.268889, 11.393986 47.268944, 11.394199 47.268945, 11.394199 47.268983, 11.394269 47.268982, 11.394275 47.269025, 11.394282 47.269078, 11.394204 47.269077, 11.394155 47.269076, 11.394158 47.269168, 11.394398 47.269169, 11.394398 47.269197, 11.394513 47.269195, 11.394596 47.269193, 11.394634 47.269192, 11.394636 47.269238, 11.39464 47.269292, 11.394618 47.269292, 11.39462 47.269411, 11.394648 47.269411, 11.39464 47.269503, 11.394636 47.269564, 11.394545 47.269572, 11.394567 47.269678, 11.394626 47.269676, 11.39467 47.269726, 11.394763 47.269671, 11.394763 47.269725, 11.394808 47.269724, 11.394834 47.269835, 11.394906 47.269828, 11.394871 47.269653, 11.394886 47.269653, 11.394916 47.269683, 11.394968 47.269698, 11.395025 47.269683, 11.395044 47.269642, 11.395028 47.269605, 11.394999 47.269584, 11.395026 47.269344, 11.395026 47.26931, 11.395024 47.269277, 11.395008 47.2689, 11.395006 47.268873, 11.395004 47.26885, 11.394975 47.26857, 11.394923 47.268556, 11.394905 47.268544, 11.394789 47.268553, 11.394529 47.268566), (11.394423 47.269025, 11.394418 47.26898, 11.394396 47.268979, 11.394372 47.268754, 11.394394 47.26875, 11.394392 47.268701, 11.394543 47.268695, 11.394762 47.268685, 11.39478 47.268879, 11.394801 47.269094, 11.394586 47.269094, 11.394429 47.269094, 11.394423 47.269025), (11.394793 47.269349, 11.394739 47.26935, 11.394737 47.2693, 11.394734 47.269199, 11.394788 47.269198, 11.394791 47.269307, 11.394793 47.269349))",1710059.4901436258,1
Frauen- und Kopfklinik,11033.378159039608,1941874.5559909716,"POLYGON ((11.387118 47.262412, 11.387082 47.262409, 11.387068 47.262475, 11.387102 47.262478, 11.38709 47.262519, 11.387073 47.262578, 11.387056 47.262637, 11.38704 47.26269, 11.387009 47.262687, 11.386994 47.262751, 11.387024 47.262755, 11.386991 47.262866, 11.387002 47.262877, 11.38701 47.262886, 11.387072 47.262895, 11.387127 47.262903, 11.387246 47.262919, 11.38736 47.262934, 11.387438 47.262945, 11.387565 47.262959, 11.387684 47.262976, 11.387907 47.263006, 11.387993 47.263019, 11.388012 47.263015, 11.388023 47.263005, 11.388056 47.262888, 11.388076 47.26289, 11.388092 47.262832, 11.388072 47.26283, 11.388081 47.262798, 11.38812 47.262657, 11.388133 47.26261, 11.388156 47.262613, 11.388174 47.262556, 11.38815 47.262552, 11.388176 47.262461, 11.388178 47.26244, 11.388162 47.26243, 11.38811 47.262423, 11.387873 47.262391, 11.387723 47.262372, 11.387608 47.262358, 11.387524 47.262347, 11.387308 47.262319, 11.387178 47.262302, 11.387152 47.262299, 11.387146 47.262321, 11.387118 47.262412), (11.387463 47.262676, 11.387234 47.262647, 11.387252 47.262582, 11.387481 47.262612, 11.387463 47.262676), (11.387918 47.262735, 11.387688 47.262704, 11.387706 47.262642, 11.387937 47.262673, 11.387918 47.262735))",1705006.7238559413,1
,10970.31627350393,1930775.664136692,"POLYGON ((11.394373 47.253766, 11.392523 47.253775, 11.39252 47.25349, 11.39252 47.25345, 11.393033 47.253448, 11.39437 47.253441, 11.394372 47.253605, 11.394372 47.253643, 11.394373 47.253766))",1695547.4410255894,1
Kinder- und Herzzentrum,10877.45975384746,1914432.9166771527,"POLYGON ((11.384638 47.261932, 11.385658 47.262065, 11.386152 47.26213, 11.386216 47.262139, 11.386277 47.262147, 11.386917 47.26223, 11.386932 47.262233, 11.38698 47.262066, 11.387004 47.261982, 11.38686 47.261963, 11.386678 47.26194, 11.386348 47.261896, 11.386293 47.261889, 11.386223 47.26188, 11.385087 47.261731, 11.384709 47.261681, 11.384638 47.261932))",1681618.963077119,1
Wirtschaftkundliches Realgymnasium Ursulinen,10829.075533057305,1905917.2938180857,"POLYGON ((11.36933 47.262639, 11.369716 47.26199, 11.370107 47.262097, 11.370502 47.262206, 11.370117 47.262854, 11.36933 47.262639))",1674361.3299585958,1
Tiroler Landestheater,10744.799094313772,1891084.640599224,"POLYGON ((11.395784 47.269395, 11.395798 47.269524, 11.395811 47.269644, 11.396419 47.269613, 11.396421 47.269629, 11.396456 47.269946, 11.396898 47.269923, 11.396904 47.269983, 11.396871 47.269985, 11.396882 47.270084, 11.397139 47.270066, 11.397127 47.269967, 11.397103 47.269969, 11.397082 47.269816, 11.39716 47.269812, 11.397146 47.269611, 11.397048 47.269618, 11.396936 47.269623, 11.396942 47.269672, 11.396896 47.269675, 11.396888 47.269607, 11.396844 47.269209, 11.396452 47.269229, 11.396416 47.269231, 11.39642 47.269262, 11.396373 47.269264, 11.396385 47.269364, 11.395784 47.269395))",1661719.864147066,1
,10637.386514292508,1872180.0265154815,"POLYGON ((11.376798 47.264761, 11.376799 47.264732, 11.376818 47.264301, 11.376819 47.264279, 11.376012 47.264263, 11.375599 47.264255, 11.375588 47.264502, 11.375522 47.2645, 11.37552 47.264562, 11.375586 47.264563, 11.375581 47.264693, 11.375757 47.264697, 11.375755 47.264735, 11.376798 47.264761))",1645607.9771438763,1
St. Barthlmä,10492.509411781632,1846681.656473568,"POLYGON ((11.402733 47.253688, 11.402741 47.253565, 11.402716 47.253564, 11.402723 47.253456, 11.402735 47.253456, 11.402744 47.253331, 11.402764 47.253332, 11.40277 47.253249, 11.40278 47.253112, 11.403329 47.253131, 11.403331 47.253102, 11.403492 47.253108, 11.40348 47.253272, 11.40354 47.253274, 11.403549 47.253173, 11.403561 47.253074, 11.403658 47.253078, 11.403703 47.253162, 11.403703 47.253179, 11.403699 47.253222, 11.403766 47.253227, 11.403931 47.253593, 11.403751 47.253635, 11.40362 47.25363, 11.403609 47.253765, 11.403364 47.253756, 11.40338 47.253562, 11.403383 47.253514, 11.403675 47.253525, 11.40368 47.25344, 11.403526 47.253434, 11.403532 47.253367, 11.403478 47.253365, 11.403469 47.253481, 11.403302 47.253475, 11.403285 47.253707, 11.403065 47.253699, 11.402944 47.253695, 11.402733 47.253688))",1623876.4117672448,1
Technischer Service,10284.621974801346,1810093.467565037,"POLYGON ((11.40216 47.257142, 11.402072 47.257144, 11.40202 47.256668, 11.402121 47.256665, 11.402046 47.255876, 11.402085 47.255843, 11.40228 47.255835, 11.402335 47.255868, 11.402382 47.256339, 11.402464 47.256335, 11.402561 47.25633, 11.402597 47.25681, 11.402511 47.256814, 11.402422 47.256818, 11.402472 47.257329, 11.402406 47.257331, 11.40233 47.257333, 11.402285 47.257334, 11.40224 47.257336, 11.402179 47.257337, 11.40216 47.257142))",1592693.296220202,1
,10211.49038402926,1797222.3075891496,"POLYGON ((11.406794 47.27968, 11.406902 47.279756, 11.406888 47.279765, 11.406603 47.279562, 11.406171 47.27985, 11.406172 47.279858, 11.406174 47.279865, 11.406183 47.279875, 11.406198 47.279883, 11.406995 47.27989, 11.407011 47.279882, 11.40702 47.279872, 11.407023 47.27986, 11.407013 47.279845, 11.406929 47.279788, 11.406941 47.279781, 11.407045 47.279852, 11.407119 47.279802, 11.407055 47.279758, 11.407082 47.279739, 11.407107 47.279738, 11.407137 47.279719, 11.40715 47.279727, 11.407379 47.27989, 11.407528 47.279793, 11.407489 47.279766, 11.407503 47.279755, 11.407544 47.279783, 11.407681 47.279878, 11.407706 47.279861, 11.407729 47.279876, 11.407748 47.279864, 11.407772 47.27988, 11.407804 47.279859, 11.407823 47.279872, 11.407898 47.279822, 11.407855 47.279792, 11.407882 47.279774, 11.407729 47.279668, 11.407789 47.279636, 11.40783 47.279678, 11.40789 47.279641, 11.407893 47.279632, 11.407887 47.279623, 11.407881 47.279613, 11.407881 47.279605, 11.407887 47.279599, 11.407898 47.279588, 11.407898 47.279579, 11.407892 47.279571, 11.40788 47.279567, 11.407848 47.279559, 11.407805 47.279538, 11.407775 47.279517, 11.407713 47.279457, 11.40768 47.279473, 11.407623 47.279416, 11.40758 47.279438, 11.407552 47.27942, 11.407611 47.279381, 11.407647 47.279405, 11.407676 47.279385, 11.407645 47.279364, 11.407675 47.279343, 11.4077 47.27936, 11.407725 47.279377, 11.407823 47.279311, 11.407592 47.279152, 11.407514 47.279204, 11.407527 47.279213, 11.407467 47.279253, 11.407494 47.279271, 11.407336 47.279377, 11.407308 47.279358, 11.407247 47.279398, 11.407193 47.279394, 11.40718 47.279403, 11.407168 47.279411, 11.407169 47.279453, 11.407112 47.279491, 11.407136 47.279507, 11.406965 47.279622, 11.406938 47.279604, 11.406889 47.279637, 11.406874 47.279627, 11.406794 47.27968))",1581723.557604389,1
,10140.182986029044,1784672.2055411125,"POLYGON ((11.415241 47.278427, 11.415123 47.278461, 11.414457 47.277994, 11.411182 47.275728, 11.410183 47.27504, 11.410266 47.274982, 11.415241 47.278427))",1571027.4479043565,1
,10101.87057666902,1777929.2214937476,"POLYGON ((11.442913 47.270323, 11.443244 47.27076, 11.443015 47.270842, 11.443105 47.270956, 11.443014 47.270989, 11.443057 47.271043, 11.442875 47.271109, 11.442832 47.271055, 11.442678 47.27111, 11.442722 47.271166, 11.442532 47.271235, 11.442486 47.271176, 11.442403 47.271206, 11.442383 47.27118, 11.442297 47.271211, 11.442148 47.271022, 11.44209 47.271044, 11.441997 47.270926, 11.442042 47.270829, 11.442778 47.270563, 11.442815 47.27061, 11.442869 47.27059, 11.442833 47.270544, 11.442712 47.2704, 11.442913 47.270323))",1565280.586500353,1
,10090.29388557874,1775891.7238618582,"POLYGON ((11.437592 47.268502, 11.437421 47.268539, 11.437024 47.268738, 11.437363 47.269423, 11.437374 47.269421, 11.437389 47.269463, 11.438035 47.269308, 11.438017 47.269271, 11.437997 47.269275, 11.437916 47.269102, 11.437927 47.269099, 11.437855 47.268953, 11.437846 47.268955, 11.437786 47.268833, 11.43776 47.26884, 11.437592 47.268502))",1563544.082836811,1
Universitätshauptgebäude,9623.1215901792,1693669.399871539,"POLYGON ((11.384764 47.263391, 11.384772 47.263398, 11.384927 47.263311, 11.384575 47.263022, 11.384637 47.262987, 11.384595 47.262953, 11.384606 47.262947, 11.384542 47.262894, 11.384475 47.26284, 11.384463 47.262847, 11.384418 47.26281, 11.384363 47.262841, 11.38432 47.262806, 11.384304 47.262792, 11.384231 47.262733, 11.384083 47.262611, 11.384074 47.262616, 11.384011 47.262564, 11.38387 47.262642, 11.383884 47.262653, 11.383781 47.262712, 11.383764 47.26272, 11.383748 47.26273, 11.383522 47.262856, 11.383609 47.262927, 11.383618 47.262934, 11.383626 47.262942, 11.38367 47.262977, 11.383657 47.262984, 11.384264 47.263482, 11.384401 47.263595, 11.384764 47.263391), (11.384204 47.262913, 11.383986 47.26304, 11.383973 47.26303, 11.383967 47.263034, 11.383784 47.262889, 11.383824 47.262866, 11.383815 47.262859, 11.383871 47.262826, 11.383858 47.262815, 11.383958 47.262757, 11.383971 47.262767, 11.384006 47.262746, 11.384081 47.262806, 11.384053 47.262822, 11.384133 47.262885, 11.384154 47.262873, 11.384204 47.262913), (11.384186 47.263172, 11.384327 47.263092, 11.384397 47.263149, 11.384445 47.263122, 11.384503 47.26317, 11.384477 47.263184, 11.384559 47.26325, 11.384583 47.263236, 11.384637 47.26328, 11.384438 47.263394, 11.384396 47.263359, 11.384365 47.263377, 11.384204 47.263246, 11.384217 47.263239, 11.384204 47.263228, 11.384234 47.263211, 11.384186 47.263172))",1493468.23852688,1
Halle D,9490.517841148783,1670331.1400421862,"POLYGON ((11.402375 47.270972, 11.402413 47.270968, 11.403366 47.270851, 11.403436 47.270843, 11.403414 47.270757, 11.403357 47.270542, 11.403311 47.270368, 11.403263 47.270374, 11.402355 47.270485, 11.402249 47.270498, 11.402306 47.27071, 11.402375 47.270972))",1473577.6761723175,1
Medizinzentrum Anichstraße,9445.015892254818,1662322.7970368485,"POLYGON ((11.387034 47.2634, 11.387291 47.263435, 11.387866 47.263512, 11.388182 47.263555, 11.388265 47.263271, 11.388288 47.263193, 11.388307 47.263128, 11.387419 47.263008, 11.387428 47.262977, 11.387438 47.262945, 11.38736 47.262934, 11.387246 47.262919, 11.387127 47.262903, 11.387072 47.262895, 11.387062 47.26293, 11.387052 47.262966, 11.386976 47.262955, 11.386853 47.263376, 11.386899 47.263382, 11.387034 47.2634), (11.387112 47.2633, 11.387154 47.263161, 11.38739 47.263197, 11.38735 47.263331, 11.387112 47.2633), (11.387568 47.263358, 11.387606 47.263225, 11.388055 47.263284, 11.388017 47.263417, 11.387568 47.263358))",1466752.3838382226,1
Halle B,9419.94950256918,1657911.1124521757,"POLYGON ((11.403439 47.271125, 11.402481 47.271239, 11.402335 47.271256, 11.402408 47.271539, 11.402963 47.271473, 11.404168 47.27133, 11.404107 47.271049, 11.404116 47.271049, 11.404117 47.271029, 11.4041 47.271034, 11.404102 47.271042, 11.403959 47.271063, 11.403439 47.271125))",1462992.425385377,1
,9314.20351738866,1639299.819060404,"POLYGON ((11.40512 47.25865, 11.405213 47.258356, 11.405238 47.258272, 11.405244 47.258251, 11.405253 47.258222, 11.405259 47.258209, 11.405288 47.258117, 11.404931 47.258066, 11.404919 47.258064, 11.404791 47.258045, 11.40464 47.258023, 11.404579 47.258014, 11.40446 47.257997, 11.404425 47.257992, 11.404322 47.257977, 11.404225 47.257963, 11.404242 47.258064, 11.404312 47.25836, 11.404339 47.258533, 11.404468 47.258552, 11.404616 47.258573, 11.404944 47.258623, 11.40507 47.258642, 11.40512 47.25865))",1447130.527608299,1
Verwaltung,9241.6402579617,1626528.6854012597,"POLYGON ((11.386917 47.26223, 11.386277 47.262147, 11.38624 47.262264, 11.386185 47.262452, 11.386234 47.262459, 11.386146 47.262755, 11.386048 47.262742, 11.386027 47.262812, 11.386083 47.262867, 11.386167 47.262879, 11.386152 47.262929, 11.386193 47.262967, 11.38628 47.262979, 11.386298 47.262918, 11.386508 47.262947, 11.386498 47.262979, 11.386706 47.263007, 11.386788 47.262728, 11.386853 47.262507, 11.386892 47.262375, 11.386875 47.262373, 11.386896 47.262303, 11.386917 47.26223))",1436246.038694255,1
,9203.270530989015,1619775.6134540671,"POLYGON ((11.439806 47.266099, 11.438742 47.266474, 11.438855 47.266622, 11.438887 47.266611, 11.438947 47.26669, 11.438878 47.266714, 11.438987 47.266857, 11.44009 47.266469, 11.439806 47.266099))",1430490.5796483522,1
,9120.02353021572,1605124.1413179666,"POLYGON ((11.401027 47.264318, 11.400117 47.261118, 11.400053 47.261125, 11.400479 47.262654, 11.400115 47.262703, 11.400544 47.264213, 11.400591 47.264378, 11.401027 47.264318), (11.400428 47.263527, 11.400346 47.263241, 11.40023 47.26283, 11.400214 47.262776, 11.400447 47.262744, 11.400462 47.2628, 11.400488 47.262895, 11.40062 47.263375, 11.400654 47.263497, 11.400887 47.264292, 11.400656 47.264321, 11.400428 47.263527))",1418003.529532358,1
Laborgebäude 1,9099.848396250149,1601573.3177400262,"POLYGON ((11.346205 47.263322, 11.346213 47.263667, 11.346215 47.263737, 11.346215 47.263748, 11.346215 47.263762, 11.346219 47.263933, 11.346219 47.263965, 11.346229 47.264395, 11.346233 47.264545, 11.34627 47.264544, 11.346308 47.264544, 11.346308 47.26457, 11.346345 47.26457, 11.346344 47.264543, 11.346639 47.26454, 11.346639 47.264536, 11.346612 47.263318, 11.346205 47.263322))",1414977.2594375224,1
,9082.671087252347,1598550.1113564132,"POLYGON ((11.378783 47.254725, 11.378725 47.254851, 11.378818 47.254877, 11.378791 47.254939, 11.378885 47.254959, 11.378869 47.254995, 11.378903 47.255003, 11.378848 47.255137, 11.378894 47.255146, 11.378862 47.255211, 11.378953 47.255233, 11.378922 47.255295, 11.379008 47.255317, 11.378998 47.255338, 11.37909 47.25536, 11.379073 47.255398, 11.379171 47.255417, 11.379194 47.255385, 11.379282 47.2554, 11.379295 47.255382, 11.379386 47.255402, 11.379426 47.255341, 11.379515 47.25536, 11.379544 47.255297, 11.379599 47.255308, 11.379624 47.255251, 11.379711 47.255248, 11.379798 47.255229, 11.379875 47.255189, 11.379941 47.255152, 11.379964 47.255126, 11.379988 47.2551, 11.380035 47.255004, 11.380003 47.255013, 11.379967 47.255003, 11.378783 47.254725))",1412400.663087852,1
Heizhaus,9000.528902591306,1584093.08685607,"POLYGON ((11.401525 47.258261, 11.401592 47.258246, 11.401639 47.258231, 11.401681 47.258212, 11.401725 47.25819, 11.401756 47.258166, 11.401788 47.258137, 11.401814 47.258105, 11.401835 47.258074, 11.401848 47.258037, 11.401854 47.258002, 11.401852 47.257966, 11.401844 47.25793, 11.40183 47.257896, 11.401812 47.257864, 11.401787 47.257833, 11.401758 47.257806, 11.401719 47.257778, 11.401678 47.257754, 11.401637 47.257736, 11.401586 47.25772, 11.40153 47.257709, 11.401464 47.257701, 11.401488 47.257448, 11.401545 47.257452, 11.401553 47.257413, 11.401792 47.257449, 11.401945 47.2575, 11.402065 47.257569, 11.402105 47.257601, 11.402047 47.257635, 11.402126 47.257711, 11.402174 47.257779, 11.402205 47.257836, 11.402227 47.257913, 11.402234 47.25798, 11.402229 47.258047, 11.402212 47.25811, 11.402183 47.258179, 11.402139 47.258243, 11.402082 47.258303, 11.40201 47.25836, 11.402055 47.258392, 11.402 47.258428, 11.401898 47.258481, 11.401708 47.258545, 11.401678 47.258498, 11.401614 47.25851, 11.401525 47.258261))",1400079.3353886958,1
,8850.477655295905,1557684.0673320794,"POLYGON ((11.406263 47.2588, 11.406299 47.258687, 11.40618 47.258669, 11.406155 47.258666, 11.40616 47.258652, 11.406168 47.258626, 11.406316 47.258648, 11.406371 47.258476, 11.40643 47.258285, 11.406351 47.258273, 11.406213 47.258252, 11.406141 47.258245, 11.405898 47.258208, 11.405829 47.258198, 11.405595 47.258163, 11.405516 47.258151, 11.405485 47.258253, 11.40547 47.258304, 11.405454 47.258352, 11.405397 47.258534, 11.405393 47.258547, 11.40539 47.258554, 11.405387 47.258565, 11.405378 47.258594, 11.405355 47.258666, 11.405657 47.25871, 11.405962 47.258755, 11.406263 47.2588))",1377571.6482943858,1
,8643.491942551735,1521254.5818891055,"POLYGON ((11.405457 47.260842, 11.405601 47.260481, 11.40554 47.26047, 11.405446 47.260452, 11.405355 47.260436, 11.405288 47.260423, 11.405248 47.260416, 11.405291 47.260308, 11.405392 47.260304, 11.405941 47.260405, 11.405746 47.260897, 11.405674 47.26107, 11.405558 47.261048, 11.405438 47.261025, 11.405353 47.261009, 11.405305 47.261, 11.405259 47.260991, 11.405211 47.260981, 11.405164 47.260972, 11.405114 47.260963, 11.405068 47.260955, 11.405049 47.260951, 11.405006 47.260943, 11.404956 47.260933, 11.404904 47.260923, 11.404852 47.260914, 11.404806 47.260905, 11.404678 47.260879, 11.404641 47.260703, 11.40463 47.260646, 11.404618 47.260591, 11.404582 47.260358, 11.404785 47.260344, 11.404788 47.260364, 11.404794 47.260398, 11.404799 47.260436, 11.404804 47.260469, 11.404809 47.260503, 11.404815 47.260542, 11.40482 47.260577, 11.404832 47.260631, 11.404854 47.260709, 11.404883 47.260713, 11.405043 47.260742, 11.405037 47.260762, 11.405457 47.260842))",1346523.7913827603,1
Ho&Ruck,8627.535144677156,1518446.1854631798,"POLYGON ((11.412552 47.280654, 11.412658 47.280941, 11.412645 47.280937, 11.412182 47.28078, 11.412174 47.28076, 11.412123 47.280629, 11.41167 47.280708, 11.411622 47.280258, 11.41236 47.280133, 11.412552 47.280654))",1344130.2717015734,1
,8441.447322495387,1485694.7287591882,"POLYGON ((11.431532 47.271934, 11.431507 47.271844, 11.431307 47.27187, 11.431239 47.271618, 11.431429 47.271594, 11.431403 47.271499, 11.431204 47.271524, 11.431036 47.270909, 11.431224 47.270886, 11.431197 47.270788, 11.430799 47.270838, 11.430825 47.270931, 11.430636 47.270955, 11.430711 47.27123, 11.430907 47.271205, 11.430928 47.271283, 11.430736 47.271308, 11.430811 47.271583, 11.431005 47.271558, 11.431027 47.271638, 11.430841 47.271661, 11.430913 47.271927, 11.431108 47.271902, 11.43113 47.271984, 11.431532 47.271934))",1316217.098374308,1
IKEA Lager,8439.572241900552,1485364.7145744974,"POLYGON ((11.441862 47.265549, 11.441369 47.265686, 11.44133 47.265621, 11.441237 47.265647, 11.441256 47.265679, 11.441169 47.265703, 11.441412 47.266106, 11.441595 47.266056, 11.441763 47.266336, 11.442254 47.2662, 11.441862 47.265549))",1315935.8362850829,1
,8136.612424763036,1432043.7867582946,"POLYGON ((11.44223 47.278292, 11.44228 47.27812, 11.442356 47.27813, 11.442365 47.278098, 11.442498 47.277636, 11.442422 47.277626, 11.442511 47.277319, 11.442175 47.277274, 11.442058 47.277419, 11.441822 47.278237, 11.44223 47.278292))",1270491.8637144554,1
,8124.420641141527,1429898.032840909,"POLYGON ((11.389354 47.273988, 11.389091 47.273638, 11.388894 47.273706, 11.388818 47.273605, 11.388737 47.273633, 11.388718 47.273608, 11.388671 47.273624, 11.388654 47.273601, 11.38861 47.273616, 11.38859 47.27359, 11.388312 47.273686, 11.38833 47.27371, 11.388235 47.273743, 11.388252 47.273766, 11.388155 47.2738, 11.388172 47.273822, 11.388123 47.27384, 11.388186 47.273924, 11.388417 47.273844, 11.388434 47.273867, 11.388288 47.273918, 11.388401 47.274068, 11.388563 47.274012, 11.388579 47.274034, 11.388518 47.274056, 11.388564 47.274116, 11.388596 47.274105, 11.388683 47.274221, 11.389354 47.273988))",1268663.0961712291,1
,8064.267354208192,1419311.054340642,"POLYGON ((11.348079 47.264773, 11.348069 47.264126, 11.348708 47.264122, 11.34871 47.264283, 11.348624 47.264284, 11.348625 47.264345, 11.34837 47.264346, 11.348371 47.264405, 11.348372 47.264463, 11.34851 47.264552, 11.349078 47.264548, 11.349079 47.264601, 11.349108 47.2646, 11.349108 47.264597, 11.349193 47.264596, 11.349195 47.264765, 11.348079 47.264773))",1259640.1031312288,1
DB Schenker,7892.730726326609,1389120.6078334833,"POLYGON ((11.404146 47.254698, 11.404227 47.25458, 11.403666 47.254401, 11.403585 47.254518, 11.403656 47.254541, 11.403565 47.254672, 11.403034 47.254496, 11.402911 47.25467, 11.403443 47.254847, 11.403213 47.255177, 11.40352 47.255275, 11.40396 47.254639, 11.404146 47.254698))",1233909.6089489914,1
