name,roof_area_m2,potential_kwh_yr,geometry_wkt
Volkskunstmuseum,5241.58306080032,922518.6187008563,"POLYGON ((11.39553 47.268508, 11.395732 47.268544, 11.396014 47.268592, 11.39594 47.267966, 11.395442 47.268001, 11.39544 47.267981, 11.395328 47.26799, 11.395336 47.268096, 11.395387 47.268093, 11.395425 47.268458, 11.395417 47.268458, 11.395417 47.268488, 11.39553 47.268508), (11.395501 47.268261, 11.395492 47.268177, 11.395597 47.268172, 11.395708 47.268166, 11.395718 47.268253, 11.395727 47.268335, 11.395616 47.268341, 11.39551 47.268346, 11.395501 47.268261))"
Pädagogische Hochschule,15461.02974866034,2721141.2357642204,"POLYGON ((11.395577 47.253472, 11.395849 47.253439, 11.395887 47.253586, 11.396148 47.253555, 11.395908 47.252629, 11.395545 47.252672, 11.39564 47.253039, 11.395495 47.253056, 11.395457 47.252909, 11.394586 47.253013, 11.39463 47.253184, 11.394731 47.253573, 11.395577 47.253472), (11.39499 47.2532, 11.395313 47.253162, 11.39535 47.253308, 11.395027 47.253346, 11.39499 47.2532))"
Schloss Ambras,3064.954745357978,539432.0351830042,"POLYGON ((11.435167 47.256473, 11.434776 47.256478, 11.434757 47.256487, 11.434693 47.256519, 11.434664 47.256522, 11.43466 47.256542, 11.434569 47.256608, 11.434622 47.256747, 11.434643 47.256805, 11.434712 47.256833, 11.434792 47.256837, 11.434911 47.256814, 11.434917 47.256811, 11.434937 47.256803, 11.435218 47.256677, 11.435281 47.256694, 11.435321 47.256686, 11.435344 47.256656, 11.435324 47.256618, 11.435248 47.256599, 11.435239 47.256546, 11.435241 47.256518, 11.435243 47.256477, 11.435202 47.256472, 11.435167 47.256473), (11.434811 47.256671, 11.434785 47.256631, 11.43506 47.256548, 11.435111 47.256628, 11.434836 47.25671, 11.434811 47.256671))"
BTV-Stadtforum,7021.907292709098,1235855.6835168013,"POLYGON ((11.396064 47.266179, 11.396095 47.266286, 11.396145 47.266455, 11.396196 47.266631, 11.396243 47.266792, 11.39626 47.26685, 11.396417 47.266829, 11.396431 47.266827, 11.396406 47.266744, 11.396698 47.266705, 11.396914 47.266676, 11.397048 47.266658, 11.397118 47.266649, 11.397087 47.266543, 11.39688 47.266571, 11.396849 47.266463, 11.396921 47.266454, 11.396888 47.26634, 11.396813 47.26635, 11.396781 47.266241, 11.396529 47.266275, 11.396485 47.266122, 11.396064 47.266179), (11.396337 47.266537, 11.396664 47.266495, 11.396692 47.266594, 11.396365 47.266636, 11.396337 47.266537))"
home4students Tirolerheim,3330.6498342500404,586194.3708280072,"POLYGON ((11.350288 47.264469, 11.350298 47.26447, 11.350306 47.264411, 11.350295 47.26441, 11.350299 47.264378, 11.349989 47.264359, 11.350003 47.264259, 11.349852 47.26425, 11.349866 47.264143, 11.349828 47.264141, 11.349829 47.264133, 11.349744 47.264128, 11.349743 47.264136, 11.349693 47.264133, 11.349668 47.264321, 11.349679 47.264322, 11.349662 47.264449, 11.349505 47.264439, 11.349502 47.264464, 11.34949 47.264463, 11.349482 47.264522, 11.349493 47.264522, 11.34949 47.264547, 11.349588 47.264553, 11.349584 47.264583, 11.349583 47.264592, 11.349596 47.264592, 11.349627 47.264594, 11.349618 47.264662, 11.349789 47.264673, 11.349805 47.264558, 11.349879 47.264563, 11.349878 47.264573, 11.349991 47.26458, 11.34999 47.264589, 11.350077 47.264594, 11.350078 47.264586, 11.350115 47.264588, 11.350119 47.264563, 11.35013 47.264564, 11.350138 47.264506, 11.350128 47.264505, 11.350131 47.264482, 11.350163 47.264484, 11.350161 47.264494, 11.350283 47.264501, 11.350288 47.264469), (11.349722 47.264389, 11.349932 47.264402, 11.349915 47.264546, 11.349704 47.264534, 11.349722 47.264389))"
,2831.549843006702,498352.7723691795,"POLYGON ((11.352602 47.249746, 11.352551 47.249642, 11.35242 47.249377, 11.352057 47.249459, 11.351904 47.249494, 11.351938 47.249563, 11.352085 47.249859, 11.352086 47.249863, 11.352602 47.249746), (11.352352 47.249469, 11.352448 47.249665, 11.352188 47.249724, 11.352091 47.249529, 11.352352 47.249469))"
,1577.0045534340213,277552.8014043878,"POLYGON ((11.410241 47.231282, 11.4102 47.231322, 11.410292 47.231366, 11.410399 47.231261, 11.410409 47.231266, 11.41055 47.231162, 11.410326 47.230994, 11.410303 47.230976, 11.410174 47.231091, 11.410057 47.231195, 11.410241 47.231282), (11.410333 47.231109, 11.410408 47.231147, 11.410364 47.231188, 11.410288 47.231149, 11.410333 47.231109))"
Wohnheim Lohbach,3745.0870183675797,659135.3152326941,"POLYGON ((11.339717 47.265674, 11.33971 47.265369, 11.339702 47.265059, 11.339306 47.265064, 11.339321 47.265678, 11.339717 47.265674), (11.339427 47.265243, 11.339582 47.265243, 11.33958 47.265492, 11.339425 47.265492, 11.339427 47.265243))"
,9120.02353021572,1605124.1413179666,"POLYGON ((11.401027 47.264318, 11.400117 47.261118, 11.400053 47.261125, 11.400479 47.262654, 11.400115 47.262703, 11.400544 47.264213, 11.400591 47.264378, 11.401027 47.264318), (11.400428 47.263527, 11.400346 47.263241, 11.40023 47.26283, 11.400214 47.262776, 11.400447 47.262744, 11.400462 47.2628, 11.400488 47.262895, 11.40062 47.263375, 11.400654 47.263497, 11.400887 47.264292, 11.400656 47.264321, 11.400428 47.263527))"
,895.6554605988931,157635.36106540522,"POLYGON ((11.401461 47.262821, 11.401466 47.262838, 11.401575 47.262826, 11.40151 47.262568, 11.401308 47.262591, 11.401368 47.262831, 11.401461 47.262821), (11.401387 47.262716, 11.401412 47.262811, 11.401384 47.262814, 11.401359 47.262719, 11.401387 47.262716))"
